SAMPLE,PIT,DEPTH m,IS 1498,LL %,PL %,PI %,FSI %,OMC %,MDD g/cc,UCS c kg/cm2,DS c kg/cm2,φ°,1 - sin φ,q_ult kg/cm2,SBC kg/cm2,SBC kPa
44/15,TP-1,GL-1.0,CH,61,29,32,60,10,1.76,0.13,,,,0.670,0.27,26.5
45/15,TP-1,1.0-1.2,GM,,,,,9,1.93,,0.00,33,0.4554,10.680,4.27,418.7
61/15,TP-8,GL-0.18,CH,63,30,33,65,12,1.78,0.12,,,,0.617,0.25,24.5
62/15,TP-8,0.18-0.7,GM,,,,,8,1.90,,0.00,34,0.4408,11.650,4.66,457.0
64/15,TP-9,GL-0.2,SC,30,15,15,,10,1.88,,0.01,27,0.5460,5.170,2.07,203.0
65/15,TP-9,0.2-0.5,GP,,,,,8,1.91,,0.00,35,0.4264,12.950,5.18,508.0
