CONDITION,LOCATION,DEPTH,MAX LOAD kg,AREA cm2,P/A kg/cm2,PRINTED UCS,UCS / 25,PRINTED SBC kg/cm2,SBC kPa
UNSOAKED,G- Building (TP-1),Below 1.5 m,"42,356",52.06,813.6,814,32.56,33,3236.2
UNSOAKED,H- Building (TP-8),Below 0.9 m,"21,924",29.15,752.1,752,30.08,30,2942.0
UNSOAKED,Mess Bldg (TP-9),Below 1.0 m,"57,573",63.96,900.1,900,36.00,36,3530.4
SOAKED,G- Building (TP-1),Below 1.5 m,"24,563",48.30,508.6,509,20.36,20,1961.3
SOAKED,H- Building (TP-8),Below 0.9 m,"14,133",27.56,512.8,513,20.52,21,2059.4
SOAKED,Mess Bldg (TP-9),Below 1.0 m,"27,033",51.12,528.8,529,21.16,21,2059.4
