====================================================================================================
VERIFICATION OF MASTER PART B  --  MANUAL CALCULATION, NOT DIRECT STAAD OUTPUT
====================================================================================================
ITEM                                        MASTER    RECOMPUTED  UNIT          DELTA  RESULT
B.4.1b utilisation                              56         55.68  %            +0.57%  OK
B.4.1b V(root)                               824.6         824.6  kN/m         +0.00%  OK
B.4.1b tau_v                                 1.015         1.015  N/mm2        +0.01%  OK
B.4.1b Vus                                   459.4         459.5  kN/m         +0.01%  OK
B.4.1b Asv/sv                                  1.3           1.3  mm2/mm       +0.00%  OK
B.5 flight d                                   164           164  mm           +0.00%  OK
B.5 flight angle                              31.4         31.39  deg          +0.04%  OK
B.5 cos theta                               0.8535        0.8537  -            +0.02%  OK
B.5 waist self 0.2x25/cos                    5.858         5.857  kPa          +0.01%  OK
B.5 steps 0.5x0.170833x25                    2.135         2.135  kPa          +0.02%  OK
B.5 wu                                        21.0         20.99  kPa          +0.05%  OK
B.5 Leff                                      3160          3160  mm           +0.00%  OK
B.5 M = wu Leff^2/8                           26.2          26.2  kNm/m        +0.00%  OK
B.5 Ast,req                                    380         379.8  mm2/m        +0.05%  OK
B.5 T12@150 provided                           754           754  mm2/m        +0.00%  OK
B.5 Mu provided                               50.3         50.26  kNm/m        +0.08%  OK
B.5 utilisation                                 52         52.13  %            +0.25%  OK
B.5 min 0.12 % x 200                           240           240  mm2/m        +0.00%  OK
B.5 flight V                                  33.2         33.16  kN/m         +0.11%  OK
B.5 flight tau_v                             0.202        0.2022  N/mm2        +0.11%  OK
B.5 flight tau_c                             0.479        0.4791  N/mm2        +0.02%  OK
B.5 flight tau_c x k1.20                     0.575        0.5749  N/mm2        +0.02%  OK
B.5 landing w                                 44.2          44.2  kPa          +0.00%  OK
B.5 landing M                                 49.7         49.73  kNm/m        +0.05%  OK
B.5 landing Ast,req                            745         745.4  mm2/m        +0.06%  OK
B.5 T12@125 provided                           905         904.8  mm2/m        +0.02%  OK
B.5 landing Mu                                59.5         59.46  kNm/m        +0.07%  OK
B.5 landing utilisation                         84         83.63  %            +0.44%  OK
B.5 landing V                                 66.3          66.3  kN/m         +0.00%  OK
B.5 landing tau_v                            0.404        0.4043  N/mm2        +0.07%  OK
B.5 landing tau_c                            0.519        0.5186  N/mm2        +0.07%  OK
B.6 flight d                                   214           212  mm           +0.93%  OK
B.6 flight angle                             29.05         29.05  deg          +0.02%  OK
B.6 waist self                                7.15          7.15  kPa          +0.00%  OK
B.6 steps                                    2.083         2.083  kPa          +0.02%  OK
B.6 wu                                       22.85         22.85  kPa          +0.00%  OK
B.6 Leff                                      4800          4800  mm           +0.00%  OK
B.6 M                                         65.8         65.81  kNm/m        +0.01%  OK
